title,call_type,theme,sentiment,sentiment_score,risk_score,summary
Support Case #9856 - Silverline Brands Backup Window Exceeded,Customer Support,Infrastructure and Architecture,mixed-negative,2.4,6,"Dominic Flores, IT Director at Silverline Brands, called Aegis Cloud Security support regarding a two-week-old open case about backup jobs significantly overrunning their scheduled 1 AM–5 AM window, with SQL Server backups now taking up to 8–9 hours and causing production performance degradation. Support engineer David Kim identified a dramatic throughput drop from ~800 MB/s to ~180–220 MB/s, potentially linked to backend network routing changes made during a March remediation effort for a separate module (Aegis Detect). David initiated immediate workarounds including a manual agent update to version 4.2.0 and SQL job priority adjustments, and escalated the issue as P1 to the infrastructure team. A follow-up call was scheduled for the next morning at 10 AM Central with a Protect platform engineer to review root cause findings."
Support Case #7615 - Crestline Wealth Group Policy Sync Delay,Customer Support,Customer Support and Success,mixed-negative,2.4,6,"Derek Owens from a wealth management firm contacted Aegis Cloud Security support regarding persistent policy sync delays and provisioning issues in Aegis Identity, some taking 4-5 hours to propagate. Support engineer Sarah Chen investigated the tenant logs and identified a sync worker queue backup issue on a shared cluster tier, potentially related to remediation work done after a mid-March Detect incident. Sarah offered two immediate actions: escalating the case to P1 for engineering review and migrating Derek's tenant to a dedicated sync worker to alleviate the delays. Derek expressed frustration over the 5-day response gap and raised concerns about renewal given the support experience."
Support Case #5889 - Ridgeline Logistics Detect Latency Issues,Customer Support,Compliance and Security,mixed-negative,2.4,6,"Priya Patel from Aegis support contacted Paula Schneider of Ridgeline (a manufacturing/logistics company) regarding a multi-day alert latency issue with the Aegis Detect product. Priya confirmed the problem was caused by a cascading failure in Aegis's event processing pipeline, not anything on the customer's side, and apologized for the lack of proactive communication. Paula expressed concern about the security gap created by hour-long alert delays across their OT and manufacturing environments, and noted potential SLA violations and cyber insurance reporting requirements. Priya committed to a two-hour written update with fix timeline and backfill status, and offered to involve the account manager for remediation and service credit discussions."
Support Case #3286 - Vanta Health Systems API Integration Error,Customer Support,Compliance and Security,mixed-negative,2.4,6,"Dr. Linda Cheng, CTO of a healthcare organization, contacted Aegis Cloud Security support regarding a three-day outage of the Aegis Protect backup API affecting patient data backup workflows. Support agent Priya Patel investigated the issue and confirmed it was a platform-level failure in Aegis's backup orchestration infrastructure, not a client-side error. Priya committed to initiating manual backup snapshots within the hour, providing a written incident summary for HIPAA audit purposes, and delivering a root cause and fix timeline within four hours. Dr. Cheng expressed significant frustration over both the technical failure and the lack of proactive communication from Aegis over the three-day period."
URGENT: Blackridge Investments - Complete Loss of Threat Visibility,External,Incident and Problem Management,very-negative,1.6,9,"Julia Tran from Blackridge Investments called Aegis Cloud Security support in a critical situation where her firm has had zero threat visibility for over three hours due to a known event processing pipeline failure. Marcus Williams confirmed the outage is a cascading failure affecting multiple customers on the same processing cluster, with engineering estimating restoration within two more hours. Julia expressed serious frustration over the lack of proactive communication, a single point of failure in the architecture, and the operational impact of having analysts manually reviewing logs. She disclosed they have been evaluating a competitor (SentinelShield) and has a board meeting next week where she must explain the security blind spot. Marcus committed to a formal incident report, SLA review, AE loop-in, and a direct phone call upon service restoration."
INCIDENT: Detect Pipeline Failure - War Room,Customer Support,Incident and Problem Management,negative,1.8,9,"A critical outage call was convened to address a complete failure of the Detect event processing pipeline that began around 9:14 AM Pacific. The ingestion pipeline's single primary node hit a memory ceiling and crashed due to lack of redundancy, a known tech debt issue that had been flagged but not prioritized. The outage went unannounced on the status page for approximately 90 minutes, causing enterprise customers including Harmon Financial and TerraLogix to escalate, with some customers mistakenly fearing a security breach. The team aligned on immediate actions: a stopgap fix involving a secondary node and temporary load balancer, a public customer statement clarifying there was no breach, and a post-mortem timeline, while acknowledging that 30-40% of event data during the outage window may be unrecoverable."
Support Case #8749 - Coastal Living Co SAML Certificate Rotation Bug,Customer Support,Product and Engineering,mixed-negative,2.2,6,"Vanessa Cruz from a retail company contacted Aegis Cloud Security support regarding a critical SAML certificate rotation issue affecting 60-70% of her workforce on a Sunday. Support engineer Elena Vasquez identified the root cause as a known bug in Aegis Identity version 3.4.1, where the certificate rotation wizard fails to propagate new certificate metadata to all service provider connections. The team worked on a manual workaround requiring Vanessa's engineer Priya to re-import the new certificate metadata across all 14 SP connections. Vanessa expressed broader frustration with platform reliability, citing this bug alongside a recent Detect outage, and Marcus committed to escalating her concerns to customer success."
Support Case #3103 - Silverline Brands Detect False Positives After Patch,Customer Support,Incident and Problem Management,mixed-negative,2.4,6,"Sarah Chen from Aegis Cloud Security support spoke with Dominic Flores and Michelle Tan (Security Manager) regarding a surge of false positive alerts following the application of agent patch 4.2.1 on Friday night. The patch reset the behavioral detection baseline, causing over 300 false positive alerts on Saturday morning compared to their normal volume of 15-20, resulting in hours of wasted on-call time. Sarah identified the issue as a known problem with the 4.2.1 patch and initiated a baseline restore to the pre-patch profile from March 13th, while also recommending suppression rules for Saturday batch jobs during the relearning period. The customer expressed frustration over two incidents in two weeks and disclosed they are evaluating other vendors at renewal time."
Support Case #8179 - Clearwater Medical Overage Charges Dispute,Customer Support,Financial and Billing,mixed-negative,2.4,6,"Clearwater Medical's Ajay Mehta (Compliance Manager) and Natalie Simmons (IT Director) contacted Aegis Cloud Security to dispute a $4,000+ April invoice. The primary dispute involves $3,200 in Comply module overages tied to report generation during the v2 launch on April 7th, where Ajay explored multi-framework reporting features with no knowledge of plan limits and no in-app alerts — which turned out to be a misconfiguration affecting migrated accounts. An additional $840 Detect module overage appears potentially linked to replay traffic generated by Aegis's own March outage, which is being investigated. Sarah Chen committed to escalating both disputes as high priority, with a written Comply dispute response within 48 hours and a Detect log analysis by end of day."
Support Case #1750 - Vanta Health Systems SIEM Connector Issue,Customer Support,Product and Engineering,mixed-negative,2.4,6,"Vanta Health Systems contacted Aegis Cloud Security support regarding a critical issue with their LogVault SIEM connector dropping event data since February 8th, including complete 45-minute to 1-hour blackout windows. Sarah Chen and Priya Patel identified the root cause as a known bug in connector version 3.4.1 where connection timeouts from F5 load balancer throttling cause the buffer to flush instead of retry. Immediate workarounds were provided (adjusting F5 connection limits and enabling the undocumented retry_on_timeout parameter), with a permanent fix available via upgrade to version 3.5.0. Dr. Cheng expressed significant frustration with the 10-day support response delay, undocumented parameters, and lack of proactive notification about the known bug in a healthcare/HIPAA environment."
Support Case #6573 - Ridgeline Logistics Detect Data Gaps,Customer Support,Compliance and Security,mixed-negative,2.1,6,"Mark Ellison, Infrastructure Lead at Ridgeline Logistics, contacted Aegis Cloud Security support regarding a complete outage of his Detect dashboard that began around 11 PM on March 11th. Elena Vasquez and Sarah Chen confirmed this is a platform-side issue caused by a failure in the event ingestion pipeline affecting multiple accounts. Mark expressed serious concern given that his company's OT networks, SCADA systems, and production floor infrastructure have had zero threat monitoring visibility for nearly 24 hours. The call concluded with commitments to escalate the case to Sev 1, provide a status update within two hours, investigate data backfill options, and loop in the account manager regarding potential SLA credits."
Support Case #3677 - Coastal Living Co MFA Token Failures,Customer Support,Identity and Access Management,mixed-negative,2.2,6,"Vanessa Cruz, VP of Engineering at Coastal Living Co, contacted Aegis Cloud Security support regarding a critical MFA token failure affecting approximately 40-45 users since 7 AM. The issue involves TOTP validation failures (error 4031) for users authenticating through an Okta SSO integration with Aegis Identity. Support agent Elena Vasquez determined the issue is likely on Aegis's end after ruling out client-side clock drift, and escalated it as a P1 business-critical incident. A temporary workaround using email OTP was implemented to unblock the engineering and ops teams while the root cause is investigated."
Support Case #6635 - Nova Retail Group SSO Login Failures,Customer Support,Incident and Problem Management,mixed-negative,2.3,6,"Nova Retail Group VP Stephanie Blair and senior security engineer Andre Coleman contacted Aegis Cloud Security support regarding an SSO outage affecting approximately 38-42% of their 1,200 users since February 10th. Aegis support identified a likely regression introduced by a patch deployed on February 9th affecting SAML NameID format handling in the Identity module. A temporary workaround was provided via bulk per-user local auth override in the admin console, while a permanent fix is estimated within 48 hours. Stephanie expressed significant frustration over the four-day outage coinciding with Valentine's Day, one of Nova Retail's busiest sales days, and the lack of proactive communication from Aegis."
